Fecha_inicio;Dia;COD_ART;NOM_ART;COD_GRU;Horas
13/01/2025;1;453251;Panecillo 100% integral;VIME;16
13/01/2025;1;431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;2
13/01/2025;1;434721;Bollito Easy;VIME;3
13/01/2025;1;430401;Mini Panecillo Easy;VIME;3
14/01/2025;2;430702;Panecito Ecológico Easy;MEC;4
14/01/2025;2;406002;Panecito Integral 100% Ecológico Easy;MEC;2
14/01/2025;2;432111;Pepito Sin Sal Añadida Easy;MEC;3
14/01/2025;2;430621;Pepito Easy;MEC;12
14/01/2025;2;432421;Bollo Easy;MEC;2
14/01/2025;2;432821;Pan Bocadillo Easy;MEC;3
15/01/2025;3;434201;Viena Easy;MEC;3
15/01/2025;3;430731;Panecito Easy;MEC;7
15/01/2025;3;434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;2
15/01/2025;3;432911;Panecito con Salvado Easy;MEC;2
15/01/2025;3;432211;Pepito con Salvado Easy;MEC;2
15/01/2025;3;406301;Viena Mondat con Salvado 145 gr;MEC;2
15/01/2025;3;406401;Viena con Salvado Pequeña;MEC;2
15/01/2025;3;403801;Mini Viena Andaluza;MEC;2
16/01/2025;4;;mantenimiento;;8
16/01/2025;4;402011;Viena Mondat 145 gr;MEC;3
16/01/2025;4;403341;Barra de Viena;MEC;2
16/01/2025;4;401111;Bocata;MEC;2
16/01/2025;4;400231;Pepito;MEC;2
16/01/2025;4;401421;Barra Castellana;MEC;2
16/01/2025;4;5718619;Pulguita;MEC;13
17/01/2025;5;5720811;Baguetina Cereales;VIME;12
17/01/2025;5;5718540;Panecillo con  Semillas;VIME;4
18/01/2025;6;5718540;Panecillo con  Semillas;VIME;8
