Fecha;Dia;COD_ART;NOM_ART;COD_GRU;Horas;Cajas;Total_Horas_Dia
10-01-2025;1;434721;Bollito Easy;VIME;16,0;1834;24,0
10-01-2025;1;453251;Panecillo 100% Integral;VIME;8,0;807;24,0
11-01-2025;2;430401;Mini Panecillo Easy;VIME;2,5;287;24,0
11-01-2025;2;431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;2,0;231;24,0
11-01-2025;2;400121;Miniatura;MEC;4,0;668;24,0
11-01-2025;2;432211;Pepito con Salvado Easy;MEC;5,0;706;24,0
11-01-2025;2;432111;Pepito Sin Sal Añadida Easy;MEC;3,5;495;24,0
11-01-2025;2;430621;Pepito Easy;MEC;2,0;283;24,0
11-01-2025;2;423321;Mollete;MEC;5,0;662;24,0
12-01-2025;3;403801;Mini Viena Andaluza;MEC;3,5;612;23,5
12-01-2025;3;400231;Pepito;MEC;4,0;545;23,5
12-01-2025;3;401301;Baguette Plus;MEC;2,0;273;23,5
12-01-2025;3;434201;Viena Easy;MEC;2,0;315;23,5
12-01-2025;3;432821;Pan Bocadillo Easy;MEC;2,0;289;23,5
12-01-2025;3;406301;Viena Mondat con Salvado 145 gr;MEC;2,0;381;23,5
12-01-2025;3;432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;2,0;283;23,5
12-01-2025;3;432911;Panecito con Salvado Easy;MEC;2,0;269;23,5
12-01-2025;3;432421;Bollo Easy;MEC;2,0;254;23,5
12-01-2025;3;406401;Viena con Salvado Pequeña;MEC;2,0;350;23,5
13-01-2025;4;423301;Mollete Pack 4 UDS;MEC;2,0;284;24,0
13-01-2025;4;425351;Payesito Mondat;MEC;2,0;328;24,0
13-01-2025;4;434011;Panecito Sin Sal Añadida Easy;MEC;2,0;269;24,0
13-01-2025;4;401881;Bollo;MEC;2,0;349;24,0
13-01-2025;4;5720811;Baguetina Cereales;VIME;16,0;1457;24,0
14-01-2025;5;5720811;Baguetina Cereales;VIME;8,0;728;16,5
14-01-2025;5;5718540;Panecillo con  Semillas;VIME;4,5;531;16,5
14-01-2025;5;423111;Panecillo con Cereales y Semillas;VIME;2,0;265;16,5
14-01-2025;5;435711;Rombito Integral 100%;VIME;2,0;208;16,5
