Fecha Inicio;27/12/2024;;;;;;;;
Fecha Fin;06/01/2025;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
COD_ART;NOM_ART;Cj/H;M_Vta -15;Disponible;Calidad;Stock Externo;M_Vta -15 AA;M_Vta +15 AA;cajas_hora;stock_total;var_ex_AA_abs;demanda_diaria;cajas_necesarias;cajas_a_producir;horas_necesarias
454001;Panecillo 100% Integral;98.9047;1.9;0.0;0.0;;1.3;0.3;98.9047;0.0;0.7692307692307693;1.4615384615384615;19.0;197.8094;2.0
453233;Panecillo 100% Integral;113.63273;0.1;0.0;0.0;;;;113.63273;0.0;0.0;0.1;1.3;227.26546;2.0
401421;Barra Castellana;137.06227;5.7;0.0;0.0;;0.1;11.3;137.06227;0.0;112.0;-638.4;0.0;274.12454;2.0
436701;Mollete Multicereal con Quinoa (3%);134.87342;0.3;27.0;0.0;;;;134.87342;27.0;0.0;0.3;0.0;269.74684;2.0
430301;Panecillo Semillas Easy;127.17655;0.1;53.0;0.0;;;;127.17655;53.0;0.0;0.1;0.0;254.3531;2.0
406501;Bollo 100 % Integral;187.00422;1.4;57.0;0.0;;2.5;0.7;187.00422;57.0;0.72;1.008;0.0;374.00844;2.0
402801;Viena;224.44444;28.0;65.0;0.0;;4.7;8.1;224.44444;65.0;0.7234042553191489;-20.255319148936167;0.0;448.88888;2.0
423111;Panecillo con Cereales y Semillas;155.78171;16.9;110.0;0.0;;;;155.78171;110.0;0.0;16.9;109.69999999999999;311.56342;2.0
423301;Mollete Pack 4 UDS;167.3356;3.7;110.0;0.0;;11.3;0.3;167.3356;110.0;0.9734513274336283;3.601769911504425;0.0;334.6712;2.0
432311;Pepito con Salvado Sin Sal Añadida Easy;166.21039;18.5;70.0;0.0;56.0;19.3;11.5;166.21039;126.0;0.40414507772020725;7.476683937823834;0.0;332.42078;2.0
401111;Bocata;224.45714;89.1;149.0;0.0;;71.3;63.1;224.45714;149.0;0.11500701262272084;89.1;1009.3;1009.3;4.496626839315514
407411;Bollo Rústico Semillado;130.89596;3.5;152.0;0.0;;;;130.89596;152.0;0.0;3.5;0.0;261.79192;2.0
425351;Payesito Mondat;192.67272;6.5;156.0;0.0;;1.0;2.3;192.67272;156.0;1.2999999999999998;-8.45;0.0;385.34544;2.0
432911;Panecito con Salvado Easy;158.39643;36.9;178.0;0.0;;43.0;31.3;158.39643;178.0;0.27209302325581397;10.040232558139536;0.0;316.79286;2.0
430101;Pan Bocadillo Sin Sal Añadida Easy;187.00569;3.7;223.0;0.0;;;;187.00569;223.0;0.0;3.7;0.0;374.01138;2.0
435711;Rombito Integral 100%;122.40097;3.3;231.0;0.0;;;;122.40097;231.0;0.0;3.3;0.0;244.80194;2.0
431610;Bollito 100% Integral Easy Pack 8 unidades;136.00086;21.5;234.0;0.0;;13.8;6.8;136.00086;234.0;0.5072463768115942;10.905797101449275;0.0;272.00172;2.0
423611;Alcachofa Semillada con Sésamo 4?35%;192.76761;4.8;246.0;0.0;;;;192.76761;246.0;0.0;4.8;0.0;385.53522;2.0
400121;Miniatura;196.35136;8.0;258.0;0.0;;9.3;10.9;196.35136;258.0;0.17204301075268802;8.0;0.0;392.70272;2.0
604301;Pepito Easy Pack 5 uds;166.21437;3.7;259.0;0.0;;;;166.21437;259.0;0.0;3.7;0.0;332.42874;2.0
434011;Panecito Sin Sal Añadida Easy;158.39017;16.8;262.0;0.0;;25.0;22.0;158.39017;262.0;0.12;16.8;0.0;316.78034;2.0
406002;Panecito Integral 100% Ecológico Easy;136.80039;15.5;262.0;0.0;;27.3;24.5;136.80039;262.0;0.10256410256410253;15.5;0.0;273.60078;2.0
432111;Pepito Sin Sal Añadida Easy;166.22628;18.0;268.0;0.0;;40.8;39.3;166.22628;268.0;0.03676470588235292;18.0;0.0;332.45256;2.0
400231;Pepito;160.18779;26.7;277.0;0.0;;20.3;14.9;160.18779;277.0;0.2660098522167488;7.102463054187192;0.0;320.37558;2.0
438801;Panecillo con Semillas;138.83391;9.5;101.0;0.0;196.0;15.7;8.2;138.83391;297.0;0.47770700636942676;4.538216560509555;0.0;277.66782;2.0
430401;Mini Panecillo Easy;134.85559;78.2;304.0;0.0;;;1.6;134.85559;304.0;0.0;78.2;712.6;712.6;5.284171015825151
434721;Bollito Easy;134.85559;71.7;332.0;0.0;;42.4;48.9;134.85559;332.0;0.15330188679245293;71.7;600.1;600.1;4.449945308162605
403801;Mini Viena Andaluza;205.70099;17.9;361.0;0.0;;25.6;21.8;205.70099;361.0;0.1484375;17.9;0.0;411.40198;2.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;179.99915;6.4;387.0;0.0;;;;179.99915;387.0;0.0;6.4;0.0;359.9983;2.0
405121;Miniatura con Salvado;196.35943;0.5;431.0;0.0;;;0.1;196.35943;431.0;0.0;0.5;0.0;392.71886;2.0
5718619;Pulguita;160.291;378.9;62.0;0.0;392.0;386.4;298.9;160.291;454.0;0.22644927536231885;85.80163043478261;661.421195652174;661.421195652174;4.126377623523305
453241;Panecillo 100% Integral;113.63273;11.2;233.0;0.0;224.0;;;113.63273;457.0;0.0;11.2;0.0;227.26546;2.0
401881;Bollo;205.58375;51.3;466.0;0.0;;43.5;17.0;205.58375;466.0;0.6091954022988506;31.251724137931035;0.0;411.1675;2.0
401301;Baguette Plus;160.34482;21.1;470.0;0.0;;21.2;24.8;160.34482;470.0;0.16981132075471694;21.1;0.0;320.68964;2.0
432421;Bollo Easy;149.60847;27.9;484.0;0.0;;27.1;24.9;149.60847;484.0;0.0811808118081182;27.9;0.0;299.21694;2.0
433701;Bollito Easy Pack de 8 Uds;133.91913;9.1;521.0;0.0;;16.7;5.0;133.91913;521.0;0.7005988023952096;6.375449101796407;0.0;267.83826;2.0
406401;Viena con Salvado Pequeña;205.7429;42.7;554.0;0.0;;32.9;34.1;205.7429;554.0;0.03647416413373872;42.7;1.1000000000000227;411.4858;2.0
403341;Barra de Viena;242.1118;71.5;590.0;0.0;;118.9;105.6;242.1118;590.0;0.11185870479394455;71.5;339.5;484.2236;2.0
423321;Mollete;155.66037;32.8;640.0;0.0;;17.3;10.7;155.66037;640.0;0.38150289017341044;12.51329479768786;0.0;311.32074;2.0
