COD_ART,NOM_ART,Disponible_Inicial,Calidad,Stock Externo,stock_inicial,demanda_media,cajas_a_producir,horas_necesarias
400121,Miniatura,251.0,0.0,0.0,251.0,10.601449275362318,393.0,2.0
400231,Pepito,264.0,0.0,0.0,264.0,15.032487309644672,320.0,2.0
401111,Bocata,148.0,0.0,0.0,148.0,74.58,449.0,2.0
401301,Baguette Plus,401.0,0.0,0.0,401.0,15.364799999999999,321.0,2.0
401881,Bollo,453.0,0.0,0.0,453.0,8.841708542713569,411.0,2.0
402011,Viena Mondat 145 gr,837.0,0.0,0.0,837.0,62.89589632829373,493.0,2.0
403341,Barra de Viena,540.0,0.0,0.0,540.0,46.52524916943521,484.0,2.0
403801,Mini Viena Andaluza,337.0,0.0,0.0,337.0,22.669714285714285,411.0,2.0
406002,Panecito Integral 100% Ecológico Easy,261.0,0.0,0.0,261.0,20.538378378378383,274.0,2.0
406301,Viena Mondat con Salvado 145 gr,925.0,0.0,0.0,925.0,23.181974921630093,449.0,2.0
406401,Viena con Salvado Pequeña,535.0,0.0,0.0,535.0,33.2,411.0,2.0
406501,Bollo 100 % Integral,57.0,0.0,0.0,57.0,1.3,374.0,2.0
407411,Bollo Rústico Semillado,149.0,0.0,0.0,149.0,3.3,262.0,2.0
423111,Panecillo con Cereales y Semillas,53.0,0.0,0.0,53.0,17.1,312.0,2.0
423611,"Alcachofa Semillada con Sésamo 4,35%",246.0,0.0,0.0,246.0,4.8,386.0,2.0
425351,Payesito Mondat,133.0,0.0,0.0,133.0,4.9,385.0,2.0
430401,Mini Panecillo Easy,429.0,0.0,0.0,429.0,39.3,270.0,2.0
430621,Pepito Easy,1408.0,0.0,0.0,1408.0,132.1,333.0,2.0
430702,Panecito Ecológico Easy,2177.0,0.0,0.0,2177.0,88.99102749638206,317.0,2.0
430731,Panecito Easy,1063.0,0.0,0.0,1063.0,207.2239097744361,317.0,2.0
431610,Bollito 100% Integral Easy Pack 8 unidades,229.0,0.0,0.0,229.0,11.200862068965517,272.0,2.0
432111,Pepito Sin Sal Añadida Easy,184.0,0.0,0.0,184.0,7.987405541561713,332.0,2.0
432211,Pepito con Salvado Easy,556.0,0.0,0.0,556.0,53.1,332.0,2.0
432311,Pepito con Salvado Sin Sal Añadida Easy,70.0,0.0,0.0,70.0,16.0,332.0,2.0
432421,Bollo Easy,452.0,0.0,0.0,452.0,24.960209424083768,299.0,2.0
432501,Pan Bocadillo con Salvado Easy,0.0,0.0,0.0,0.0,6.7,374.0,2.0
432821,Pan Bocadillo Easy,593.0,0.0,0.0,593.0,15.370637119113571,340.0,2.0
432911,Panecito con Salvado Easy,178.0,0.0,0.0,178.0,36.9,317.0,2.0
434011,Panecito Sin Sal Añadida Easy,262.0,0.0,0.0,262.0,16.8,317.0,2.0
434201,Viena Easy,832.0,0.0,0.0,832.0,33.6328125,371.0,2.0
434721,Bollito Easy,284.0,0.0,0.0,284.0,39.13226452905812,270.0,2.0
435711,Rombito Integral 100%,207.0,0.0,0.0,207.0,3.5,245.0,2.0
453233,Panecillo 100% Integral,0.0,0.0,0.0,0.0,0.1,227.0,2.0
453251,Panecillo 100% Integral,2688.0,0.0,0.0,2688.0,263.2,237.0,2.0
5718540,Panecillo con  Semillas,931.0,0.0,1820.0,2751.0,198.81194805194806,278.0,2.0
5718619,Pulguita,34.0,0.0,28.0,62.0,317.2158330867121,890.0,5.6
5720811,Baguetina Cereales,396.0,0.0,532.0,928.0,375.2,214.0,2.0
