COD_ART,NOM_ART,COD_GRU,Cj/H,Disponible,Calidad,Stock Externo,Pedido,1ª OF,OF,Cob-15,Vta -15,M_Vta -15,Vta -60,M_Vta-60,Vta -15 AA,M_Vta -15 AA,Vta +15 AA,M_Vta +15 AA,% Vta-15/ AA,% Vta-15/ +15 AA,Disponible_Inicial,variacion_aa,demanda_media,demanda_prov,stock_inicial,demanda_periodo,stock_seguridad,cobertura_inicial,cobertura_final_est,cajas_a_producir,horas_necesarias
400121,Miniatura,MEC,196.35136,58.0,0.0,0.0,22.0,2025-01-10,594.0,"4,8",72.0,4.8,851.0,"14,2",144.0,9.6,179.0,11.9,"50,00%","5,40%",652.0,0.23958333333333348,5.95,23.8,628.2,42.0,18.0,105.6,98.5,,
400231,Pepito,MEC,160.18779,304.0,0.0,0.0,28.0,2025-01-10,324.0,"14,1",211.0,14.1,1.226,"20,4",279.0,18.6,251.0,16.7,"75,60%","7,40%",628.0,0.10215053763440873,14.1,56.4,571.6,99.0,42.0,40.5,33.5,0.0,0.0
400233,Pepito,MEC,160.28813,0.0,0.0,0.0,0.0,,0.0,,,0.0,352.0,"5,9",,0.0,320.0,21.3,,,0.0,inf,0.0,0.0,0.0,0.0,0.0,,,,
401111,Bocata,MEC,224.45714,671.0,0.0,0.0,481.0,2025-01-09,687.0,"26,5",397.0,26.5,3.071,"51,2",728.0,48.5,451.0,30.1,"54,50%","10,80%",1358.0,0.37938144329896906,16.44639175257732,65.78556701030928,1292.2144329896907,115.0,49.0,78.6,71.6,,
401113,Bocata,MEC,224.45714,0.0,0.0,0.0,0.0,,0.0,,,0.0,256.0,"4,3",,0.0,224.0,14.9,,,0.0,inf,0.0,0.0,0.0,0.0,0.0,,,,
401301,Baguette Plus,MEC,160.34482,219.0,0.0,0.0,20.0,2025-01-10,651.0,"9,6",144.0,9.6,1.019,17,374.0,24.9,321.0,21.4,"38,50%","7,80%",870.0,0.1405622489959839,9.6,38.4,831.6,67.0,29.0,86.6,79.6,,
401421,Barra Castellana,MEC,137.06227,226.0,0.0,0.0,364.0,2025-01-09,428.0,,,0.0,85.0,"1,4",171.0,11.4,364.0,24.3,,"3,10%",654.0,1.1315789473684212,0.0,0.0,654.0,0.0,0.0,inf,inf,,
401423,Barra Castellana,MEC,120.91656,0.0,0.0,0.0,32.0,,0.0,,,0.0,96.0,"1,6",,0.0,288.0,19.2,,,0.0,inf,0.0,0.0,0.0,0.0,0.0,,,,
401881,Bollo,MEC,205.58375,370.0,0.0,0.0,5.0,,0.0,"3,4",51.0,3.4,1.905,"31,8",307.0,20.5,362.0,24.1,"16,60%","5,70%",370.0,0.17560975609756113,3.4,13.6,356.4,24.0,10.0,104.8,97.8,,
402011,Viena Mondat 145 gr,MEC,246.74846,901.0,0.0,0.0,573.0,2025-01-09,744.0,"56,5",847.0,56.5,5.39,"89,8",1.978,131.9,2.241,149.4,"42,80%","5,90%",1645.0,0.13267626990144055,56.5,226.0,1419.0,396.0,170.0,25.1,18.1,0.0,0.0
402801,Viena,MEC,224.44444,65.0,0.0,0.0,0.0,,0.0,,,0.0,420.0,7,131.0,8.7,381.0,25.4,,"2,30%",65.0,1.9195402298850577,0.0,0.0,65.0,0.0,0.0,inf,inf,,
403341,Barra de Viena,MEC,242.1118,933.0,0.0,0.0,24.0,2025-01-09,487.0,"26,9",404.0,26.9,3.631,"60,5",1.643,109.5,1.903,126.9,"24,60%","5,80%",1420.0,0.1589041095890411,26.9,107.6,1312.4,188.0,81.0,48.8,41.8,0.0,0.0
403801,Mini Viena Andaluza,MEC,205.70099,140.0,0.0,0.0,12.0,,0.0,"6,6",99.0,6.6,923.0,"15,4",216.0,14.4,837.0,55.8,"45,80%","1,70%",140.0,2.8749999999999996,6.6,26.4,113.6,46.0,20.0,17.2,10.2,0.0,0.0
404903,Viena 170g,MEC,186.988,87.0,0.0,0.0,0.0,,0.0,,,0.0,65.0,"1,1",,0.0,96.0,6.4,,,87.0,inf,0.0,0.0,87.0,0.0,0.0,inf,inf,,
405121,Miniatura con Salvado,MEC,196.35943,428.0,0.0,0.0,0.0,,0.0,"0,5",8.0,0.5,25.0,"0,4",2.0,0.1,1.0,0.1,"400,00%","13,30%",428.0,0.0,0.5,2.0,426.0,4.0,2.0,852.0,844.0,,
406002,Panecito Integral 100% Ecológico Easy,MEC,136.80039,198.0,0.0,0.0,29.0,2025-01-10,418.0,"0,1",2.0,0.1,811.0,"13,5",276.0,18.4,815.0,54.3,"0,70%","2,30%",616.0,1.9510869565217392,0.1,0.4,615.6,1.0,0.0,6156.0,6146.0,,
406301,Viena Mondat con Salvado 145 gr,MEC,224.3976,647.0,0.0,0.0,86.0,,0.0,"17,1",256.0,17.1,2.426,"40,4",896.0,59.7,778.0,51.9,"28,60%","7,70%",647.0,0.1306532663316583,17.1,68.4,578.6,120.0,51.0,33.8,26.8,0.0,0.0
406401,Viena con Salvado Pequeña,MEC,205.7429,585.0,0.0,0.0,147.0,2025-01-08,431.0,"10,9",163.0,10.9,1.629,"27,2",407.0,27.1,461.0,30.7,"40,00%","5,90%",585.0,0.1328413284132841,10.9,43.6,541.4,76.0,33.0,49.7,42.7,0.0,0.0
406501,Bollo 100 % Integral,MEC,187.00422,52.0,0.0,0.0,0.0,,0.0,"0,2",3.0,0.2,100.0,"1,7",11.0,0.7,32.0,2.1,"27,30%","2,30%",52.0,2.0000000000000004,0.2,0.8,51.2,1.0,1.0,256.0,251.0,,
407411,Bollo Rústico Semillado,VIME,130.89596,136.0,0.0,0.0,0.0,,0.0,"0,7",11.0,0.7,246.0,"4,1",,0.0,,0.0,"0,00%",,136.0,0.0,0.7,2.8,133.2,5.0,2.0,190.3,183.1,,
421702,Barra de Viena Ecológica Easy,MEC,180.00603,629.0,0.0,0.0,0.0,,0.0,,,0.0,952.0,"15,9",,0.0,,0.0,,,629.0,0.0,0.0,0.0,629.0,0.0,0.0,inf,inf,,
421802,Bollo Ecológico Easy,MEC,163.20404,217.0,0.0,0.0,0.0,2025-01-10,504.0,,,0.0,1.074,"17,9",,0.0,,0.0,,,721.0,0.0,0.0,0.0,721.0,0.0,0.0,inf,inf,,
422002,Barra de Viena 15%  Integral  Ecológico Easy,MEC,179.99915,367.0,0.0,0.0,0.0,,0.0,,,0.0,383.0,"6,4",,0.0,,0.0,,,367.0,0.0,0.0,0.0,367.0,0.0,0.0,inf,inf,,
423111,Panecillo con Cereales y Semillas,VIME,155.78171,199.0,0.0,0.0,17.0,2025-01-11,317.0,8,120.0,8.0,824.0,"13,7",,0.0,,0.0,"0,00%",,516.0,0.0,8.0,32.0,484.0,56.0,24.0,60.5,53.5,,
423301,Mollete Pack 4 UDS,MEC,167.3356,110.0,0.0,0.0,0.0,,0.0,"1,9",28.0,1.9,140.0,"2,3",6.0,0.4,128.0,8.5,"466,70%","0,30%",110.0,20.25,1.9,7.6,102.4,13.0,6.0,53.9,47.1,0.0,0.0
423321,Mollete,MEC,155.66037,351.0,0.0,0.0,13.0,2025-01-11,637.0,"16,7",251.0,16.7,2.231,"37,2",196.0,13.1,449.0,29.9,"128,10%","2,90%",988.0,1.282442748091603,16.7,66.8,921.2,117.0,50.0,55.2,48.2,0.0,0.0
423611,"Alcachofa Semillada con Sésamo 4,35%",VIME,192.76761,243.0,0.0,0.0,39.0,,0.0,"0,2",3.0,0.2,75.0,"1,3",,0.0,,0.0,"0,00%",,243.0,0.0,0.2,0.8,242.2,1.0,1.0,1211.0,1206.0,,
425351,Payesito Mondat,MEC,192.67272,87.0,0.0,0.0,0.0,2025-01-11,401.0,"2,8",42.0,2.8,258.0,"4,3",40.0,2.7,17.0,1.1,"105,00%","15,70%",488.0,0.5925925925925926,1.1407407407407408,4.562962962962963,483.43703703703704,8.0,3.0,423.8,416.8,,
430101,Pan Bocadillo Sin Sal Añadida Easy,MEC,187.00569,56.0,0.0,0.0,0.0,,0.0,,,0.0,112.0,"1,9",,0.0,,0.0,,,56.0,0.0,0.0,0.0,56.0,0.0,0.0,inf,inf,,
430301,Panecillo Semillas Easy,VIME,127.17655,277.0,0.0,0.0,0.0,,0.0,,,0.0,3.0,"0,1",,0.0,,0.0,,,277.0,0.0,0.0,0.0,277.0,0.0,0.0,inf,inf,,
430401,Mini Panecillo Easy,VIME,134.85559,717.0,0.0,0.0,0.0,,0.0,"38,5",577.0,38.5,4.45,"74,2",24.0,1.6,448.0,29.9,"2404,20%","0,40%",717.0,17.687499999999996,38.5,154.0,563.0,270.0,116.0,14.6,7.6,477.0,3.53711700048919
430621,Pepito Easy,MEC,166.2776,1873.0,0.0,0.0,226.0,,0.0,"93,3",1400.0,93.3,10.132,"168,9",2.885,192.3,2.625,175.0,"48,50%","7,30%",1873.0,0.08996359854394176,93.3,373.2,1499.8,653.0,280.0,16.1,9.1,1019.2000000000002,6.129508725168033
430702,Panecito Ecológico Easy,MEC,158.42696,1744.0,0.0,0.0,350.0,,0.0,"7,3",110.0,7.3,4.916,"81,9",934.0,62.3,3.517,234.5,"11,80%","1,80%",1744.0,2.764044943820225,7.3,29.2,1714.8,51.0,22.0,234.9,227.9,,
430731,Panecito Easy,MEC,158.31932,1718.0,0.0,0.0,56.0,2025-01-07,0.0,"25,5",382.0,25.5,11.894,"198,2",903.0,60.2,2.367,157.8,"42,30%","2,50%",1718.0,1.6212624584717608,25.5,102.0,1616.0,178.0,76.0,63.4,56.4,,
431610,Bollito 100% Integral Easy Pack 8 unidades,VIME,136.00086,416.0,0.0,0.0,0.0,,0.0,"7,2",108.0,7.2,791.0,"13,2",121.0,8.1,216.0,14.4,"89,30%","3,70%",416.0,0.7777777777777779,12.8,51.2,364.8,90.0,38.0,28.5,21.5,0.0,0.0
432111,Pepito Sin Sal Añadida Easy,MEC,166.22628,216.0,0.0,0.0,0.0,,0.0,17,255.0,17.0,1.91,"31,8",667.0,44.5,447.0,29.8,"38,20%","9,90%",216.0,0.3303370786516854,11.384269662921348,45.53707865168539,170.4629213483146,80.0,34.0,15.0,7.9,0.0,0.0
432211,Pepito con Salvado Easy,MEC,166.21578,993.0,0.0,0.0,0.0,2025-01-08,851.0,"32,9",494.0,32.9,2.531,"42,2",620.0,41.3,1.014,67.6,"79,70%","4,10%",993.0,0.6368038740920097,53.85084745762712,215.40338983050847,777.5966101694916,377.0,162.0,14.4,7.4,676.4203389830509,4.069531418635769
432311,Pepito con Salvado Sin Sal Añadida Easy,MEC,166.21039,448.0,0.0,0.0,0.0,2025-01-08,500.0,"5,5",82.0,5.5,763.0,"12,7",169.0,11.3,310.0,20.7,"48,50%","3,60%",448.0,0.8318584070796458,10.075221238938052,40.30088495575221,407.6991150442478,71.0,30.0,40.5,33.4,0.0,0.0
432421,Bollo Easy,MEC,149.60847,676.0,0.0,0.0,1.0,,0.0,"13,9",208.0,13.9,1.746,"29,1",314.0,20.9,791.0,52.7,"66,20%","2,60%",676.0,1.521531100478469,13.9,55.6,620.4,97.0,42.0,44.6,37.7,0.0,0.0
432501,Pan Bocadillo con Salvado Easy,MEC,187.00706,0.0,0.0,0.0,0.0,,0.0,,,0.0,101.0,"1,7",,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
432821,Pan Bocadillo Easy,MEC,169.99643,838.0,0.0,0.0,0.0,2025-01-08,347.0,"27,3",410.0,27.3,2.825,"47,1",239.0,15.9,668.0,44.5,"171,50%","2,40%",838.0,1.79874213836478,27.3,109.2,728.8,191.0,82.0,26.7,19.7,0.0,0.0
432911,Panecito con Salvado Easy,MEC,158.39643,357.0,0.0,0.0,5.0,2025-01-08,489.0,"7,9",119.0,7.9,3.38,"56,3",290.0,19.3,775.0,51.7,"41,00%","2,50%",357.0,1.678756476683938,7.9,31.6,325.4,55.0,24.0,41.2,34.2,0.0,0.0
