COD_ART;NOM_ART;COD_GRU;Estado;Grupo;Orden_Planificacion;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Tipo;Total_Palets;Total_Stock;Penalizacion_Espacio
400231;Pepito;MEC;Planificado; ;15;14,1;506,8;360,4225275;2,5;35,94;61,51;28,94;RESUMEN;1563,06;43718,53;-100
402011;Viena Mondat 145 gr;MEC;Planificado; ;11;56,5;1270,2;444,147228;2,0;22,48;30,34;15,48;RESUMEN;1563,06;43718,53;-100
403341;Barra de Viena;MEC;Planificado; ;19;26,9;1215,0;544,75155;2,5;45,17;65,42;38,17;RESUMEN;1563,06;43718,53;-100
403801;Mini Viena Andaluza;MEC;Planificado; ;8;6,6;113,6;740,523564;4,0;17,21;129,41;10,21;RESUMEN;1563,06;43718,53;-100
406301;Viena Mondat con Salvado 145 gr;MEC;Planificado; ;14;17,1;578,6;504,8946;2,5;33,84;63,36;26,84;RESUMEN;1563,06;43718,53;-100
406401;Viena con Salvado Pequeña;MEC;Planificado; ;21;10,9;541,4;370,33722;2,0;49,67;83,65;42,67;RESUMEN;1563,06;43718,53;-100
423111;Panecillo con Cereales y Semillas;VIME;Planificado; ;22;8,0;420,6;280,407078;2,0;52,58;87,63;45,58;RESUMEN;1563,06;43718,53;-100
423301;Mollete Pack 4 UDS;MEC;Planificado; ;23;1,9;102,4;301,20408000000003;2,0;53,89;212,42;46,89;RESUMEN;1563,06;43718,53;-100
423321;Mollete;MEC;Planificado; ;20;16,7;793,8;280,188666;2,0;47,53;64,31;40,53;RESUMEN;1563,06;43718,53;-100
430401;Mini Panecillo Easy;VIME;Planificado; ;5;38,5;563,0;606,8501550000001;5,0;14,62;30,39;7,62;RESUMEN;1563,06;43718,53;-100
430621;Pepito Easy;MEC;Planificado; ;7;93,3;1499,8;374,12460000000004;2,5;16,08;20,08;9,08;RESUMEN;1563,06;43718,53;-100
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;Planificado; ;13;12,85;364,59;1224,00774;10,0;28,37;123,6;21,37;RESUMEN;1563,06;43718,53;-100
432111;Pepito Sin Sal Añadida Easy;MEC;Planificado; ;6;11,39;170,43;523,612782;3,5;14,96;60,92;7,96;RESUMEN;1563,06;43718,53;-100
432211;Pepito con Salvado Easy;MEC;Planificado; ;4;53,81;777,77;897,565212;6,0;14,45;31,14;7,45;RESUMEN;1563,06;43718,53;-100
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;Planificado; ;16;10,09;407,64;822,7414305;5,5;40,41;121,96;33,41;RESUMEN;1563,06;43718,53;-100
432421;Bollo Easy;MEC;Planificado; ;18;13,9;620,4;269,295246;2,0;44,63;64,01;37,63;RESUMEN;1563,06;43718,53;-100
432821;Pan Bocadillo Easy;MEC;Planificado; ;12;27,3;728,8;382,49196750000004;2,5;26,7;40,71;19,7;RESUMEN;1563,06;43718,53;-100
432911;Panecito con Salvado Easy;MEC;Planificado; ;17;7,9;325,4;427,67036100000007;3,0;41,19;95,33;34,19;RESUMEN;1563,06;43718,53;-100
434201;Viena Easy;MEC;Planificado; ;9;41,55;810,79;500,74102800000003;3,0;19,51;31,56;12,51;RESUMEN;1563,06;43718,53;-100
434721;Bollito Easy;VIME;Planificado; ;2;34,47;175,13;1941,9204960000002;16,0;5,08;61,42;-1,92;RESUMEN;1563,06;43718,53;-100
453251;Panecillo 100% Integral;VIME;Planificado; ;3;106,4;826,4;1121,6759715;10,5;7,77;18,31;0,77;RESUMEN;1563,06;43718,53;-100
5718540;Panecillo con  Semillas;VIME;Planificado; ;10;82,75;1619,99;312,428565;2,5;19,58;23,35;12,58;RESUMEN;1563,06;43718,53;-100
5718619;Pulguita;MEC;Planificado; ;24;49,24;2766,83;360,65475;2,5;56,19;63,51;49,19;RESUMEN;1563,06;43718,53;-100
5720811;Baguetina Cereales;VIME;Planificado; ;1;205,4;801,6;1542,184128;16,0;3,9;14,23;-3,1;RESUMEN;1563,06;43718,53;-100
