COD_ART;NOM_ART;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Desviacion
402011;Viena Mondat 145 gr;56,5;1419,0;493;2,0;25,12;33,84;18,12;13,84
403801;Mini Viena Andaluza;6,6;113,6;411;2,0;17,21;79,48;10,21;59,48
430401;Mini Panecillo Easy;38,5;563,0;476;3,53;14,62;26,99;7,62;6,99
430621;Pepito Easy;93,3;1499,8;1019;6,13;16,08;27,0;9,08;7,0
431610;Bollito 100% Integral Easy Pack 8 unidades;12,85;364,59;272;2,0;28,37;49,53;21,37;29,53
432111;Pepito Sin Sal Añadida Easy;11,39;170,43;332;2,0;14,96;44,1;7,96;24,1
432211;Pepito con Salvado Easy;53,81;777,77;675;4,06;14,45;27,0;7,45;7,0
432821;Pan Bocadillo Easy;27,3;728,8;340;2,0;26,7;39,15;19,7;19,15
434201;Viena Easy;41,55;810,79;371;2,0;19,51;28,44;12,51;8,44
434721;Bollito Easy;34,47;175,13;1893;14,04;5,08;60,0;-1,92;40,0
453251;Panecillo 100% Integral;106,4;826,4;2046;17,24;7,77;27,0;0,77;7,0
5718540;Panecillo con  Semillas;82,75;1846,99;387;2,79;22,32;27,0;15,32;7,0
5720811;Baguetina Cereales;205,4;982,4;6448;60,21;4,78;36,18;-2,22;16,18
