COD_ART;NOM_ART;COD_GRU;Estado;Orden_Planificacion;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Total_Palets;Total_Stock;Penalizacion_Espacio
434721;Bollito Easy;VIME;Planificado;INICIO;34,47;175,13;1949;17,0;5,08;61,63;-1,92;75,86;2124,13;-100
453251;Panecillo 100% Integral;VIME;Planificado;INICIO;106,4;826,4;555;5,5;7,77;12,98;0,77;49,34;1381,4;-100
430401;Mini Panecillo Easy;VIME;Planificado;INICIO;38,5;563,0;229;2,0;14,62;20,57;7,62;28,29;792,0;-100
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;Planificado;INICIO;12,85;364,59;231;2,0;28,37;46,34;21,37;21,27;595,59;-100
432211;Pepito con Salvado Easy;MEC;Planificado;;53,81;777,77;353;2,5;14,45;21,02;7,45;47,12;1130,77;-100
432111;Pepito Sin Sal Añadida Easy;MEC;Planificado;;11,39;170,43;353;2,5;14,96;45,94;7,96;18,69;523,43;-100
430621;Pepito Easy;MEC;Planificado;;93,3;1499,8;353;2,5;16,08;19,86;9,08;77,2;1852,8;-100
403801;Mini Viena Andaluza;MEC;Planificado;;6,6;113,6;437;2,5;17,21;83,42;10,21;19,66;550,6;-100
434201;Viena Easy;MEC;Planificado;;41,55;810,79;315;2,0;19,51;27,09;12,51;40,21;1125,79;-100
406301;Viena Mondat con Salvado 145 gr;MEC;Planificado;;17,1;578,6;381;2,0;33,84;56,12;26,84;34,27;959,6;-100
400231;Pepito;MEC;Planificado;;14,1;523,0;272;2,0;37,09;56,38;30,09;28,39;795,0;-100
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;Planificado;;10,09;407,64;353;2,5;40,41;75,4;33,41;27,17;760,64;-100
432911;Panecito con Salvado Easy;MEC;Planificado;;7,9;325,4;269;2,0;41,19;75,24;34,19;21,23;594,4;-100
401301;Baguette Plus;MEC;Planificado;;9,6;733,95;341;2,5;76,45;111,97;69,45;38,39;1074,95;-100
5720811;Baguetina Cereales;VIME;Planificado;FINAL;205,4;846,8;2048;22,5;4,12;14,09;-2,88;103,39;2894,8;-100
423111;Panecillo con Cereales y Semillas;VIME;Planificado;FINAL;8,0;436,45;331;2,5;54,56;95,93;47,56;21,32;767,45;-100
