COD_ART;NOM_ART;COD_GRU;Estado;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Stock_final;Cajas Hora;Cobertura_Final_Est;Desviación
5720811;Baguetina Cereales;VIME;Planificado;205,4;982,4;8500;79,37;4,78;46,17;4944,15;107;-2,22;39,0
434721;Bollito Easy;VIME;Planificado;34,47;175,13;1893;14,04;5,08;60,0;8091,48;135;-1,92;53,0
453251;Panecillo 100% Integral;VIME;Planificado;106,4;826,4;663;5,59;7,77;14,0;1661,52;119;0,77;7,0
432211;Pepito con Salvado Easy;MEC;Planificado;53,81;777,77;332;2,0;14,45;20,62;3428,18;166;7,45;14,0
430401;Mini Panecillo Easy;VIME;Planificado;38,5;563,0;270;2,0;14,62;21,64;2917,78;135;7,62;15,0
432111;Pepito Sin Sal Añadida Easy;MEC;Planificado;11,39;170,43;332;2,0;14,96;44,1;7330,67;166;7,96;37,0
430621;Pepito Easy;MEC;Planificado;93,3;1499,8;333;2,0;16,08;19,64;3266,38;166;9,08;13,0
403801;Mini Viena Andaluza;MEC;Planificado;6,6;113,6;411;2,0;17,21;79,48;16350,11;206;10,21;72,0
434201;Viena Easy;MEC;Planificado;41,55;810,79;371;2,0;19,51;28,44;5274,81;185;12,51;21,0
5718540;Panecillo con  Semillas;VIME;Planificado;82,75;1846,99;278;2,0;22,32;25,68;3565,74;139;15,32;19,0
402011;Viena Mondat 145 gr;MEC;Planificado;56,5;1419,0;493;2,0;25,12;33,84;8350,14;247;18,12;27,0
432821;Pan Bocadillo Easy;MEC;Planificado;27,3;728,8;340;2,0;26,7;39,15;6655,39;170;19,7;32,0
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;Planificado;12,85;364,59;272;2,0;28,37;49,53;6735,96;136;21,37;43,0
406301;Viena Mondat con Salvado 145 gr;MEC;Válido sin producción;17,1;578,6;0;0,0;33,84;33,84;7592,77;224;26,84;27,0
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;Válido sin producción;10,09;407,64;0;0,0;40,41;40,41;6715,87;166;33,41;33,0
400231;Pepito;MEC;Válido sin producción;14,1;571,6;0;0,0;40,54;40,54;6493,85;160;33,54;34,0
432911;Panecito con Salvado Easy;MEC;Válido sin producción;7,9;325,4;0;0,0;41,19;41,19;6524,33;158;34,19;34,0
432421;Bollo Easy;MEC;Válido sin producción;13,9;620,4;0;0,0;44,63;44,63;6677,49;150;37,63;38,0
403341;Barra de Viena;MEC;Válido sin producción;26,9;1312,4;0;0,0;48,79;48,79;11812,18;242;41,79;42,0
406401;Viena con Salvado Pequeña;MEC;Válido sin producción;10,9;541,4;0;0,0;49,67;49,67;10219,19;206;42,67;43,0
423301;Mollete Pack 4 UDS;MEC;Válido sin producción;1,9;102,4;0;0,0;53,89;53,89;9018,51;167;46,89;47,0
423321;Mollete;MEC;Válido sin producción;16,7;921,2;0;0,0;55,16;55,16;8586,49;156;48,16;48,0
423111;Panecillo con Cereales y Semillas;VIME;Válido sin producción;8,0;484,0;0;0,0;60,5;60,5;9424,79;156;53,5;54,0
430731;Panecito Easy;MEC;Válido sin producción;25,5;1616,0;0;0,0;63,37;63,37;10033,1;158;56,37;56,0
435711;Rombito Integral 100%;VIME;Válido sin producción;2,6;166,6;0;0,0;64,08;64,08;7843,08;122;57,08;57,0
5718619;Pulguita;MEC;Válido sin producción;49,24;3346,03;0;0,0;67,95;67,95;10891,87;160;60,95;61,0
401111;Bocata;MEC;Válido sin producción;16,42;1292,33;0;0,0;78,72;78,72;17669,19;224;71,72;72,0
401301;Baguette Plus;MEC;Válido sin producción;9,6;831,6;0;0,0;86,62;86,62;13889,87;160;79,62;80,0
453243;Panecillo 100% Integral;VIME;Válido sin producción;11,7;1068,2;0;0,0;91,3;91,3;11317,33;124;84,3;84,0
434011;Panecito Sin Sal Añadida Easy;MEC;Válido sin producción;3,25;336,02;0;0,0;103,51;103,51;16395,53;158;96,51;97,0
401881;Bollo;MEC;Válido sin producción;3,4;356,4;0;0,0;104,82;104,82;21550,01;206;97,82;98,0
400121;Miniatura;MEC;Válido sin producción;5,97;628,13;0;0,0;105,27;105,27;20670,64;196;98,27;98,0
604301;Pepito Easy Pack 5 uds;MEC;Válido sin producción;1,5;209,0;0;0,0;139,33;139,33;23159,2;166;132,33;132,0
407411;Bollo Rústico Semillado;VIME;Válido sin producción;0,7;133,2;0;0,0;190,29;190,29;24907,63;131;183,29;183,0
430702;Panecito Ecológico Easy;MEC;Válido sin producción;7,3;1714,8;0;0,0;234,9;234,9;37215,14;158;227,9;228,0
436701;Mollete Multicereal con Quinoa (3%);MEC;Válido sin producción;0,1;24,6;0;0,0;246,0;246,0;33178,86;135;239,0;239,0
438801;Panecillo con Semillas;VIME;Válido sin producción;0,55;195,79;0;0,0;353,7;353,7;49104,94;139;346,7;347,0
425351;Payesito Mondat;MEC;Válido sin producción;1,19;483,24;0;0,0;406,08;406,08;78241,32;193;399,08;399,0
433701;Bollito Easy Pack de 8 Uds;VIME;Válido sin producción;1,2;792,2;0;0,0;660,17;660,17;88408,95;134;653,17;653,0
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;Válido sin producción;0,2;242,2;0;0,0;1211,0;1211,0;233441,58;193;1204,0;1204,0
405121;Miniatura con Salvado;MEC;Válido sin producción;0,25;427,0;0;0,0;1708,0;1708,0;335381,91;196;1701,0;1701,0
406002;Panecito Integral 100% Ecológico Easy;MEC;Válido sin producción;0,1;615,6;0;0,0;6156,0;6156,0;842143,2;137;6149,0;6149,0
421702;Barra de Viena Ecológica Easy;MEC;No válido;0,0;629,0;0;0,0;999,0;0,0;0,0;180;999,0;-7,0
421802;Bollo Ecológico Easy;MEC;No válido;0,0;721,0;0;0,0;999,0;0,0;0,0;163;999,0;-7,0
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;No válido;0,0;367,0;0;0,0;999,0;0,0;0,0;180;999,0;-7,0
